TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z,ImageFile
1648106783783,0.000000,0.000000,0.678841,1.000000,0.000000,0.000000,0.000000,img__0_1648106784038870900.png
1648106783837,0.000000,0.000000,0.678841,1.000000,0.000000,0.000000,0.000000,img__0_1648106784090989300.png
1648106783885,0.000000,0.000000,0.678841,1.000000,0.000000,0.000000,0.000000,img__0_1648106784138560100.png
1648106783948,0.000000,0.000000,0.678841,1.000000,0.000000,0.000000,0.000000,img__0_1648106784203008600.png
1648106783996,-0.000006,0.000000,0.677651,0.999979,0.000000,0.006482,-0.000000,img__0_1648106784251564300.png
1648106784044,-0.000477,0.000000,0.665789,0.999802,0.000000,0.019921,-0.000000,img__0_1648106784300009300.png
1648106784095,-0.002549,0.000000,0.637439,0.999634,0.000000,0.027065,0.000000,img__0_1648106784348615700.png
1648106784143,-0.006530,0.000000,0.595425,0.999538,0.000000,0.030385,0.000000,img__0_1648106784396923200.png
1648106784191,-0.012769,0.000000,0.538501,0.999486,0.000000,0.032058,0.000000,img__0_1648106784445938200.png
1648106784257,-0.025253,0.000000,0.436224,0.999466,0.000000,0.032686,0.000000,img__0_1648106784510534300.png
1648106784305,-0.037203,0.000000,0.344724,0.999475,0.000000,0.032403,0.000000,img__0_1648106784558946100.png
1648106784353,-0.051531,0.000000,0.239172,0.999496,0.000000,0.031751,0.000000,img__0_1648106784606677800.png
1648106784404,-0.069283,0.000000,0.112048,0.999525,0.000000,0.030807,0.000000,img__0_1648106784657268800.png
1648106784449,-0.087025,0.000000,-0.012541,0.999555,0.000000,0.029838,0.000000,img__0_1648106784703895100.png
1648106784497,-0.108000,0.000000,-0.157829,0.999588,0.000000,0.028718,0.000000,img__0_1648106784752042800.png
1648106784563,-0.140103,0.000000,-0.377616,0.999633,0.000000,0.027097,0.000000,img__0_1648106784816624700.png
1648106784611,-0.165677,0.000000,-0.551341,0.999665,0.000000,0.025891,0.000000,img__0_1648106784865515400.png
1648106784662,-0.194763,0.000000,-0.748075,0.999697,0.000000,0.024604,0.000000,img__0_1648106784915737100.png
1648106784710,-0.223827,0.000000,-0.944112,0.999726,0.000000,0.023399,0.000000,img__0_1648106784964120000.png
1648106784755,-0.252465,0.000000,-1.136986,0.999752,0.000000,0.022282,-0.000000,img__0_1648106785011383200.png
1648106784806,-0.286440,0.000000,-1.365646,0.999779,0.000000,0.021037,-0.000000,img__0_1648106785061657700.png
1648106784869,-0.330468,0.000000,-1.661969,0.999809,-0.000000,0.019537,-0.000000,img__0_1648106785122899600.png
1648106784917,-0.365409,0.000000,-1.897060,0.999830,-0.000000,0.018427,-0.000000,img__0_1648106785171032300.png
1648106784965,-0.401181,0.000000,-2.132020,0.999849,-0.000000,0.017350,-0.000000,img__0_1648106785219329000.png
1648106785013,-0.437364,0.000000,-2.356229,0.999867,-0.000000,0.016316,-0.000000,img__0_1648106785267752100.png
1648106785061,-0.473806,0.000000,-2.565910,0.999882,-0.000000,0.015336,-0.000000,img__0_1648106785316254200.png
1648106785109,-0.510469,0.000000,-2.760377,0.999896,-0.000000,0.014420,-0.000000,img__0_1648106785364973800.png
1648106785175,-0.561242,0.000000,-3.003792,0.999912,-0.000000,0.013271,-0.000000,img__0_1648106785429500700.png
1648106785223,-0.598442,0.000000,-3.164499,0.999922,-0.000000,0.012514,-0.000000,img__0_1648106785478008700.png
1648106785271,-0.635882,0.000000,-3.312500,0.999930,-0.000000,0.011821,-0.000000,img__0_1648106785526525100.png
1648106785319,-0.673571,0.000000,-3.448705,0.999937,-0.000000,0.011186,-0.000000,img__0_1648106785575060600.png
1648106785367,-0.711514,0.000000,-3.573988,0.999944,-0.000000,0.010604,-0.000000,img__0_1648106785622889900.png
1648106785415,-0.749715,0.000000,-3.689169,0.999949,-0.000000,0.010071,-0.000000,img__0_1648106785671125300.png
1648106785463,-0.788176,0.000000,-3.795021,0.999954,-0.000000,0.009579,-0.000000,img__0_1648106785719624800.png
1648106785529,-0.841483,0.000000,-3.926650,0.999960,-0.000000,0.008964,-0.000000,img__0_1648106785784849300.png
1648106785577,-0.880560,0.000000,-4.013144,0.999963,-0.000000,0.008555,-0.000000,img__0_1648106785833107800.png
1648106785625,-0.919894,0.000000,-4.092552,0.999967,-0.000000,0.008175,-0.000000,img__0_1648106785880807500.png
1648106785673,-0.959481,0.000000,-4.165434,0.999969,-0.000000,0.007820,-0.000000,img__0_1648106785929367700.png
1648106785724,-1.001818,0.000000,-4.236310,0.999972,-0.000000,0.007467,-0.000000,img__0_1648106785977982600.png
1648106785775,-1.044432,0.000000,-4.300993,0.999975,-0.000000,0.007137,-0.000000,img__0_1648106786030849900.png
1648106785835,-1.094915,0.000000,-4.369884,0.999977,-0.000000,0.006774,-0.000000,img__0_1648106786090514700.png
1648106785883,-1.135567,0.000000,-4.419891,0.999979,-0.000000,0.006503,-0.000000,img__0_1648106786138637800.png
1648106785931,-1.176449,-0.000000,-4.465765,0.999981,-0.000000,0.006245,-0.000000,img__0_1648106786187235100.png
1648106785982,-1.220133,-0.000000,-4.510358,0.999982,-0.000000,0.005986,-0.000000,img__0_1648106786238075800.png
1648106786030,-1.261473,-0.000000,-4.548755,0.999983,-0.000000,0.005755,-0.000000,img__0_1648106786283828500.png
1648106786081,-1.305630,-0.000000,-4.586082,0.999985,-0.000000,0.005522,-0.000000,img__0_1648106786335371600.png
1648106786144,-1.360499,-0.000000,-4.627717,0.999986,-0.000000,0.005251,-0.000000,img__0_1648106786397825200.png
1648106786189,-1.402535,-0.000000,-4.654708,0.999987,-0.000000,0.005067,-0.000000,img__0_1648106786445836200.png
1648106786240,-1.444765,-0.000000,-4.682785,0.999988,-0.000000,0.004868,-0.000000,img__0_1648106786494661500.png
1648106786288,-1.487182,-0.000000,-4.706974,0.999989,-0.000000,0.004689,-0.000000,img__0_1648106786543143500.png
1648106786336,-1.529782,-0.000000,-4.729183,0.999990,-0.000000,0.004519,-0.000000,img__0_1648106786590902100.png
1648106786387,-1.575238,-0.000000,-4.750795,0.999991,-0.000000,0.004345,-0.000000,img__0_1648106786641463600.png
1648106786447,-1.628962,-0.000000,-4.773845,0.999991,-0.000000,0.004152,-0.000000,img__0_1648106786703477300.png
1648106786495,-1.672125,-0.000000,-4.790606,0.999992,-0.000000,0.004004,-0.000000,img__0_1648106786751399700.png
1648106786546,-1.718160,-0.000000,-4.806932,0.999993,-0.000000,0.003854,-0.000000,img__0_1648106786799860600.png
